t_days, log_F5, log_F9, nu
0.000115700000000,-6.778335700687212,-9.198501881743056,1000000.000000000000000
0.000115700000000,-6.366548830098368,-8.786734092844929,1606547.231052205432206
0.000115700000000,-5.954761993867432,-8.374979907494732,2580994.005601502954960
0.000115700000000,-5.542975201953414,-7.963249719069140,4146488.773061426356435
0.000115700000000,-5.131188468618283,-7.551562093716650,6661530.056950891390443
0.000115700000000,-4.719401817817749,-7.139950260638208,10702062.667565494775772
0.000115700000000,-4.307615301255966,-6.728473762795797,17193369.145124491304159
0.000115700000000,-3.895829062266633,-6.317239341161392,27621959.592558115720749
0.000115700000000,-3.484043566574680,-5.906438255982200,44375982.699660144746304
0.000115700000000,-3.072260442108003,-5.496412585898369,71292112.131359577178955
0.000115700000000,-2.660485543191372,-5.087771691006932,114534145.340499073266983
0.000115700000000,-2.248740138952547,-4.681592553966312,184004514.057708889245987
0.000115700000000,-1.837101751443802,-4.279751086287466,295611942.560518860816956
0.000115700000000,-1.425852865680104,-3.885429779227552,474914547.786565124988556
0.000115700000000,-1.016017613973683,-3.503781329947333,762972651.732913374900818
0.000115700000000,-0.611236042341584,-3.142499703346712,1225751601.010070562362671
0.000115700000000,-0.223570978104183,-2.811602913523692,1969227840.560536623001099
0.000115700000000,0.115074728345396,-2.521444415328494,3163657534.563444137573242
0.000115700000000,0.359431116019902,-2.278926065283231,5082565252.150347709655762
0.000115700000000,0.506980985563689,-2.084195321751299,8165381132.484262466430664
0.000115700000000,0.602041452439262,-1.930697798092920,13118070448.878513336181641
0.000115700000000,0.678378343165474,-1.808419323950115,21074799756.393535614013672
0.000115700000000,0.749142602868248,-1.707494935847006,33857661193.613590240478516
0.000115700000000,0.818340778790976,-1.620175153602085,54393931840.503623962402344
0.000115700000000,0.887102103091054,-1.541153191772546,87386420584.403488159179688
0.000115700000000,0.955736730966449,-1.467095526094839,140390412021.436859130859375
0.000115700000000,1.024327823680650,-1.396024609660126,225543827699.317657470703125
0.000115700000000,1.092895701707707,-1.326820040485178,362346811871.252990722656250
0.000115700000000,1.161442783290369,-1.258881948330572,582127267292.355957031250000
0.000115700000000,1.229965695205598,-1.191923745270507,935214949388.521484375000000
0.000115700000000,1.298458327052450,-1.125851576060267,1502466987378.751464843750000
0.000115700000000,1.366912325546257,-1.060697557917397,2413784178320.682128906250000
0.000115700000000,1.435316780568137,-0.996585255149951,3877858288038.714355468750000
0.000115700000000,1.503657545554735,-0.933714249090873,6229962495061.442382812500000
0.000115700000000,1.571916262513368,-0.872356011213833,10008728996000.048828125000000
0.000115700000000,1.640069040269406,-0.812856397285078,16079495854875.732421875000000
0.000115700000000,1.708084673039532,-0.755641724559900,25832469542366.023437500000000
0.000115700000000,1.775922229142590,-0.701226106138999,41501082414528.570312500000000
0.000115700000000,1.843527765751469,-0.650217843360739,66673449038729.976562500000000
0.000115700000000,1.910829821322933,-0.603322471323920,107114044937871.968750000000000
0.000115700000000,1.977733187542217,-0.561339761136688,172083772301739.718750000000000
0.000115700000000,2.044110247363468,-0.525151913424848,276460707900378.125000000000000
0.000115700000000,2.109788858996207,-0.495700725041768,444147184772085.062500000000000
0.000115700000000,2.174535336617409,-0.473953098490369,713543429875222.625000000000000
0.000115700000000,2.238030499426905,-0.460857171464697,1146341221501532.250000000000000
0.000115700000000,2.299836031679649,-0.457295432462719,1841651315244289.750000000000000
0.000115700000000,2.359347609968433,-0.464045636551940,2958699821069353.500000000000000
0.000115700000000,2.415730741380115,-0.481763599889814,4753291005053626.000000000000000
0.000115700000000,2.467835882639051,-0.511002073651402,7636386502554257.000000000000000
0.000115700000000,2.514093070778211,-0.552274957427983,12268215590922926.000000000000000
0.000115700000000,2.552396441146230,-0.606164337376431,19709467787548804.000000000000000
0.000115700000000,2.580010238905371,-0.673447360074780,31664190899599040.000000000000000
0.000115700000000,2.593561958501238,-0.755190182333764,50870018213259488.000000000000000
0.000115700000000,2.589222462928943,-0.852725119463618,81725086904086960.000000000000000
0.000115700000000,2.563165344512028,-0.967424629852447,131295212073261216.000000000000000
0.000115700000000,2.512288325810453,-1.100261843668909,210931959406709024.000000000000000
0.000115700000000,2.434971636999268,-1.251310643348478,338872155325265984.000000000000000
0.000115700000000,2.331503349568304,-1.419466630815420,544414122818501120.000000000000000
0.000115700000000,2.203928912036105,-1.602582778459277,874627001559774720.000000000000000
0.000115700000000,2.055430539431797,-1.797938692052919,1405129587559343360.000000000000000
0.000115700000000,1.889585574419917,-2.002771381083111,2257407048162981120.000000000000000
0.000115700000000,1.709802551595191,-2.214645398989047,3626631042583984640.000000000000000
0.000115700000000,1.519028878564190,-2.431607724596736,5826354059511249920.000000000000000
0.000115700000000,1.319672577462570,-2.652186685615693,9360312981437612032.000000000000000
0.000115700000000,1.113640843408769,-2.875316118146946,15037784902110550016.000000000000000
0.000115700000000,0.902421674581776,-3.100241398255948,24158911695644262400.000000000000000
0.000115700000000,0.687169286833769,-3.326434828018769,38812432689872191488.000000000000000
0.000115700000000,0.468777993083505,-3.553529013859723,62354006268314017792.000000000000000
